Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Difference,Amount Differences
2005031578275,2005-02-16 00:00:00,2005-02-06 00:00:00,SEA,Seattle-Tacoma International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,19.35,Approved,19.35,Approve in Full,10.0,0.0
0717057M,2003-07-17 00:00:00,2003-06-12 00:00:00,TPA,Tampa International,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,1914.6,Settled,789.41,Settle,35.0,1125.19
2007122736958,2007-12-21 00:00:00,2007-08-21 00:00:00,MSN,Dane County Regional (Madison),UAL,Passenger Property Loss,Checked Baggage,Batteries - Dry cell only,17.77,Settled,8.89,Settle,122.0,8.879999999999999
2007042624572,2007-04-23 00:00:00,2007-04-12 00:00:00,FNT,Bishop International; Flint,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,450.0,Denied,0.0,Deny,11.0,450.0
2004101965225,2004-09-28 00:00:00,2004-07-17 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,,Passenger Property Loss,Checked Baggage,Other,250.0,Denied,0.0,Deny,73.0,250.0
2004060755007,2004-04-23 00:00:00,2004-02-22 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Spirit Airlines,Passenger Property Loss,Checked Baggage,Other,1500.0,Denied,0.0,Deny,61.0,1500.0
0909188M,2003-09-09 00:00:00,2003-08-28 00:00:00,LAX,Los Angeles International Airport,America Trans Air,Passenger Property Loss,Checked Baggage,Other,953.3,Settled,218.82,Settle,12.0,734.48
2014082016098,2014-08-04 00:00:00,2014-07-28 00:00:00,IAD,Washington Dulles International,American Airlines  ,Passenger Property Loss,Checked Baggage,,0.0,Deny,,,7.0,
2004122770935,2004-11-19 00:00:00,2004-11-08 00:00:00,,,,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,100.0,Canceled,,,11.0,
2012073195801,2012-07-03 00:00:00,2012-06-15 00:00:00,PSC,Tri-Cities,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,0.0,Deny,,,18.0,
